State,No.of Teachers 
Andaman and Nicobar Islands,5281
Andhra Pradesh,320724
Arunachal Pradesh,23707
Assam,352944
Bihar,582876
Chandigarh,9345
Chhattisgarh,260782
Dadra and Nagar Haveli and Daman and Diu,4489
Delhi,151600
Goa,13836
Gujarat,378118
Haryana,237594
Himachal Pradesh,100137
Jammu and Kashmir,167106
Jharkhand,210418
Karnataka,431386
Kerala,268473
Ladakh,6155
Lakshadweep,806
Madhya Pradesh,601208
Maharashtra,748589
Manipur,42684
Meghalaya,55160
Mizoram,23366
Nagaland,31402
Odisha,331336
Puducherry,12355
Punjab,257134
Rajasthan,724525
Sikkim,13613
Tamil Nadu,569920
Telangana,320894
Tripura,36433
Uttar Pradesh,1507828
Uttarakhand,123212
West Bengal,581687
