State, Toilet Facility 
Andaman and Nicobar Islands,99.28
Andhra Pradesh,85.55
Arunachal Pradesh,91.22
Assam,84.92
Bihar,97.85
Chandigarh,100
Chhattisgarh,98.08
Dadra and Nagar Haveli and Daman and Diu,100
Delhi,100
Goa,100
Gujarat,99.27
Haryana,98.74
Himachal Pradesh,98.72
Jammu and Kashmir,88.82
Jharkhand,98.31
Karnataka,97.18
Kerala,99.02
Ladakh,96.12
Lakshadweep,100
Madhya Pradesh,97.73
Maharashtra,96.88
Manipur,87.89
Meghalaya,85.08
Mizoram,95.03
Nagaland,93.92
Odisha,97.92
Puducherry,100
Punjab,100
Rajasthan,97.5
Sikkim,99.6
Tamil Nadu,98.24
Telangana,83.51
Tripura,92.42
Uttar Pradesh,98.34
Uttarakhand,95.36
West Bengal,99.83
